Stationsnamn,Markering,FilID,Beräkningsklass,SW99_X,SW99_Y,SW99_Z
Kåbdalis,KABD.0,0KAB,Definitiv,2430673.5641,884172.8307,5811029.9092
Kållandsö,KALL.0,0KAL,Definitiv,3237443.6071,758888.4006,5424620.7608
Kårböle,KARB.0,0KRB,Definitiv,2897354.8008,793434.4296,5607862.8464
Köpingsvik,KOVI.0,0KOV,Definitiv,3345367.7818,1005218.6500,5318711.3234
Lakaträsk,LAKA.0,0LAK,Definitiv,2400196.8656,927540.6646,5816709.2685
Landskrona,LAND.1,1LAD,Definitiv,3495508.8420,795886.1944,5257685.1258
Landvetter,LNDV.0,0LND,Definitiv,3341201.3152,728300.4202,5366108.3728
Landvetter_C,LNDC.0,0LNC,Definitiv,3340618.5575,722856.6330,5367087.2081
Lansjärv,LANS.0,0LAJ,Definitiv,2346878.8522,957357.8918,5833406.2164
Leksand,LEKS.0,0LEK,Definitiv,3022573.1875,802945.6384,5540683.9645
Leksand-Mast,LEKS.6,6LEK,Definitiv,3022567.2691,802951.3078,5540685.8644
Lennartsfors,LENN.0,0LEN,Definitiv,3192280.3077,673626.7275,5462330.8878
Liden,LIDE.1,1LID,Definitiv,2807864.2109,847869.5657,5644926.3920
Lidhult,LIHU.0,0LIH,Definitiv,3402056.7739,813570.9157,5315735.8074
Lidingö,LIDO.0,0LIO,Definitiv,3096450.9011,1013687.7250,5464878.0738
Lidköping,LIDK.0,0LKO,Definitiv,3253240.2722,758784.6797,5415241.3369
Lilla Edet,LEDE.0,0LED,Definitiv,3301808.4047,710295.2567,5392549.4425
Lillhärdal,LILL.0,0LIL,Definitiv,2926392.6903,733254.1708,5601253.5500
Lillkobben,LKBB.0,0LKB,Definitiv,3000047.2075,986222.9954,5522905.9359
Lindesnäs,LIND.1,1LIN,Definitiv,3064016.0808,793861.8843,5519122.0636
Lindholmen,LHOL.0,0LHO,Definitiv,3341846.4426,706704.3691,5368413.6024
Linghem,LHEM.0,0LHE,Definitiv,3220322.7305,911042.6852,5411504.7018
Linköping_C,LINC.0,0LIC,Definitiv,3224877.4213,902011.7325,5410267.5957
Linsell,LIEL.0,0LIE,Definitiv,2899538.5075,717095.4596,5617135.6094
Ljungby2,LJUN.2,2LJU,Definitiv,3394557.7537,842271.6244,5316045.0259
Ljungbyhed,LBYH.0,0LBH,Definitiv,3472811.3907,817287.1005,5269371.3474
Ljungdalen,LDAL.0,0LDA,Definitiv,2846029.7632,646124.8375,5652983.1926
Lofsdalen,LOFS.0,0LOF,Definitiv,2909702.8477,686509.3378,5616173.3799
Loftahammar,LFTA.0,0LFT,Definitiv,3253738.0153,976087.7176,5380203.5909
Lovö,LOVO.0,0LOV,Definitiv,3104219.4533,998383.9784,5463290.5089
Lovö-Mast,LOVO.6,6LOV,Definitiv,3104211.1222,998381.5791,5463295.5817
Lugnås,LUGN.1,1LUG,Definitiv,3232685.3948,787603.5565,5423380.2690
Luleå,LULE.0,0LUL,Definitiv,2450271.5995,1000701.2356,5783646.4027
Lumsheden,LUMS.0,0LUM,Definitiv,3003501.3974,875487.1312,5539792.1505
Lycksele,LYCK.1,1LYC,Definitiv,2596498.2474,877208.3034,5740259.8113
Långsele,LASE.0,0LSE,Definitiv,2758145.3488,846688.0878,5669350.4220
Långserud,LARU.0,0LAR,Definitiv,3187801.5747,715825.6224,5459567.3293
Långshyttan,LANG.0,0LAN,Definitiv,3030340.1583,870622.2920,5525927.2103
Långträsk,LANT.1,1LAT,Definitiv,2498276.5026,926081.1859,5775933.1605
Lästringe,LAST.0,0LAS,Definitiv,3152809.2559,982790.3227,5438381.7316
Löberöd,LOBE.0,0LOB,Definitiv,3495815.7866,840232.5372,5250742.0112
Löddeköpinge,LODD.0,0LOD,Definitiv,3504242.7051,808743.9770,5249934.7555
Lövånger,LOVA.0,0LVA,Definitiv,2577162.8138,1005475.5623,5727772.7598
Malmberget,MALB.0,0MLM,Definitiv,2319459.9045,876358.9457,5857324.2993
Malmköping,MALK.0,0MLK,Definitiv,3141411.2710,943715.0533,5451825.1303
Malmö,MALM.1,1MAL,Definitiv,3518630.7064,814269.1824,5239548.5151
Malung,MALU.0,0MLU,Definitiv,3041410.8227,742848.1830,5538623.4081
Malå,MALA.0,0MLA,Definitiv,2541510.3911,863152.4067,5766869.8426
Mariefred,MARI.1,1MRF,Definitiv,3121531.6281,967776.0600,5458913.0370
Markaryd,MARK.0,0MAK,Definitiv,3433661.7183,830174.4965,5292873.1415
Matfors,MATF.0,0MAT,Definitiv,2836876.9902,866198.8721,5627654.4854
Medle,MEDL.0,0MED,Definitiv,2553667.2810,963613.3175,5745418.9002
Mellerud,MLLR.0,0MLL,Definitiv,3243270.9035,716361.3845,5426922.7229
Mjölby,MJOL.0,0MJO,Definitiv,3241110.8582,876032.8062,5404956.6643
Mockfjärd,MOCK.0,0MOC,Definitiv,3041209.8473,813003.1176,5528789.1823
Molkom,MOLK.0,0MKO,Definitiv,3143405.6078,767787.6285,5478082.8693
Mollösund,MOLL.1,1MOL,Definitiv,3313069.9372,673081.6704,5390384.2889
Mora,MORA.0,0MOR,Definitiv,2999473.7199,779305.6516,5556175.6264
Morgongåva,MORG.0,0MGV,Definitiv,3064542.0646,934208.2228,5496739.1223
Morjärv,MRJA.0,0MRJ,Definitiv,2393484.0139,1001302.7175,5807138.1602
Moskosel,MSEL.0,0MSE,Definitiv,2465063.5469,870871.5297,5798605.4964
Motala_C,MOTC.0,0MOT,Definitiv,3222980.7086,864218.7589,5417572.4577
Munka-Ljungby,MUNK.0,0MUN,Definitiv,3461324.2992,793801.1037,5280395.9594
Munkfors,MUFO.0,0MUF,Definitiv,3123797.6286,752393.5881,5491352.0344
Månsarp,MANS.0,0MAN,Definitiv,3317357.6820,831796.3905,5365953.3205
Mårtsbo,MART.6,6MAR,Definitiv,2998189.7140,931451.5922,5533398.4755
Mårtsbo,MTST.0,0MTS,Definitiv,2998198.2786,931440.7907,5533394.2755
Mårtsbo,MTST.1,1MTS,Definitiv,2998183.0209,931454.6588,5533400.6688
Mårtsbo,MTST.2,2MTS,Preliminär,2998182.5333,931456.8903,5533400.6603
Mårtsbo-Mast,MART.7,7MAR,Preliminär,2998198.7618,931449.7122,5533392.6383
Mårtsbo-Mast2,MART.8,8MAR,Definitiv,2998197.9056,931461.4217,5533391.7246
Märsta,MRST.0,0MRS,Definitiv,3077349.7264,991577.2972,5479568.5038
Mölle,MOLE.0,0MLE,Definitiv,3464704.7695,768049.9613,5281976.6755
Mölnlycke,MOLN.0,0MLY,Definitiv,3343979.3977,717781.0297,5365676.3912
Mönsterås,MOAS.0,0MOA,Definitiv,3335690.5145,984186.3236,5328643.3013
Mörbylånga,MOBY.0,0MOB,Definitiv,3383009.3522,994304.8852,5297044.2640
N Unnaryd,NUNN.0,0NUN,Definitiv,3328457.0196,812916.3517,5361973.2680
Nattavaara,NATT.0,0NAT,Definitiv,2357386.7591,902794.2604,5838083.3542
Nihkagobba,NIHK.0,0NIH,Definitiv,2264710.0789,828651.2238,5885534.8744
Nikkala,NIKK.0,0NIK,Definitiv,2396284.6046,1062626.4032,5795119.7335
Norberg,NORB.0,0NBG,Definitiv,3068754.1123,875354.0556,5504108.6821
Nornäs,NOAS.0,0NOA,Definitiv,2976894.5991,700428.5831,5578955.8813
Norra Biotesten,NBIO.0,0NBI,Definitiv,2997268.6836,984789.9263,5524659.3299
Norrbäck,NOBA.0,0NBA,Definitiv,2602873.0536,829615.1963,5744673.1143
Norrfjärden,NOFJ.0,0NFJ,Definitiv,2475469.5260,974752.6966,5777382.8469
Norrfors,NOFO.0,0NOF,Definitiv,2672964.6882,920134.1021,5698485.8405
Norrköping,NORR.0,0NOR,Definitiv,3199093.3208,932231.2892,5420322.4826
Norrköping-Mast,NORR.7,7NOR,Definitiv,3199101.5642,932233.0122,5420316.8673
Norråker,NRRA.0,0NRA,Definitiv,2658397.1279,741825.2324,5731134.8658
Norsholm,NHLM.0,0NHL,Definitiv,3210874.3707,919223.3733,5415644.3112
Norsjö,NOSJ.0,0NOS,Definitiv,2556856.7668,904511.7549,5753798.6997
Nyborg,NYBO.0,0NYB,Definitiv,2410777.8304,1031767.9085,5794689.5056
Nybro,NBRO.0,0NBR,Definitiv,3371478.3047,960961.5438,5310548.2648
Nyköping,NYKO.0,0NYK,Definitiv,3170587.6838,967988.5425,5430753.8547
Nyliden,NYLI.0,0NYL,Definitiv,2685695.6640,898443.2495,5696063.1951
Nynäshamn,NYNA.0,0NYN,Definitiv,3141747.6650,1017435.8062,5438418.1526
Nässjö,NASS.0,0NAS,Definitiv,3308723.2484,867883.0334,5365652.0771
Ockelbo,OCKE.0,0OCK,Definitiv,2979384.2802,894802.7686,5549526.8152
Onsala,ONSA.0,0ONS,Definitiv,3370658.8291,711876.9374,5349786.7382
Onsala_mast,ONSA.1,1ONS,Preliminär,3370667.1989,711818.7214,5349787.8750
Onsala_TT1,OTT_.1,1OTT,Definitiv,3370848.9702,711517.9206,5349715.2691
Onsala_TT2,OTT_.2,2OTT,Definitiv,3370887.4853,711503.5403,5349694.5583
Onsala_TT3,OTT_.3,3OTT,Definitiv,3370856.3112,711651.9374,5349692.4110
Onsala_TT4,OTT_.4,4OTT,Definitiv,3370918.4251,711539.6127,5349671.0333
Onsala_TT5,OTT_.5,5OTT,Definitiv,3370940.4910,711599.6065,5349650.9424
Onsala_TT6,OTT_.6,6OTT,Definitiv,3370970.8494,711556.4166,5349635.8602
Oppeby,OPPE.0,0OPP,Definitiv,3256897.6229,922031.6724,5387884.2168
Ornö,ORNO.0,0ORO,Preliminär,3119375.6151,1039602.8408,5447018.0699
Orrefors,ORRE.0,0ORR,Definitiv,3365866.3485,948948.8726,5316320.9610
Oskarshamn,OSKA.0,0OSK,Definitiv,3341340.1851,957912.3000,5330003.2165
Oskarshamn_C,OSKC.0,0OKC,Definitiv,3316627.9366,980248.9688,5341172.6264
Oskarshamn-Mast,OSKA.6,6OSK,Definitiv,3341336.3629,957914.5592,5330005.7044
Oskarström,OSAM.0,0OSA,Definitiv,3411116.2375,786172.8271,5313897.4756
Oxelösund,OXEL.0,0OXE,Definitiv,3177394.6475,977921.4809,5425008.2107
Pahtovare,PAHT.0,0PAH,Definitiv,2270593.1683,830307.6930,5883030.6074
Pauliström,PAUL.0,0PAU,Definitiv,3313198.0231,919489.0794,5354180.2377
Pello,PELL.0,0PEL,Definitiv,2301856.7700,1024069.4788,5839953.0278
Piteå_N,PINO.0,0PIN,Definitiv,2484474.2976,977004.9297,5773182.2771
Piteå_S,PISO.0,0PIS,Definitiv,2490367.3727,987623.2675,5768836.5313
Porjus,PJUS.0,0PJU,Definitiv,2355371.8282,848825.3469,5847003.6484
Prästgårdsberget,PRAS.0,0PRA,Definitiv,2260730.1325,831082.7561,5886680.6578
Ramsjö,RAMS.0,0RAM,Definitiv,2873732.6102,805038.6224,5618251.1792
Ratan,RATA.0,0RAT,Definitiv,2620558.2794,1000461.5220,5709038.6237
Ratan,RATA.1,1RAT,Definitiv,2620553.9242,1000441.6199,5709047.4268
Rautas,RAUT.0,0RAU,Definitiv,2253919.4332,815673.0958,5891327.5257
Rejmyre,REJM.0,0REJ,Definitiv,3182689.1791,908423.5957,5433974.9453
Rengsjö,RENG.0,0REN,Definitiv,2936587.9818,876398.9123,5575040.9919
Ringarum,RING.0,0RIN,Definitiv,3219073.2646,950416.2081,5405467.6841
Rinkabyholm,RIBY.0,0RIB,Definitiv,3374141.7600,983388.0293,5304688.2325
Robertsfors,ROBF.1,1ROF,Definitiv,2601965.8009,991304.2878,5719123.0202
Rockneby,ROCK.0,0ROC,Definitiv,3359023.4430,985208.1679,5313872.9985
Roma,ROMA.0,0ROM,Definitiv,3257654.8121,1086729.5648,5356755.0214
Ronneby,ROBY.1,1ROB,Definitiv,3429944.1869,937394.8866,5277367.4809
Rosenlund,ROSE.0,0ROE,Definitiv,3304591.7525,837045.3404,5372805.8335
Rosvik,ROSV.0,0ROS,Definitiv,2471419.4709,983037.1136,5777709.3170
Rottne,ROTT.0,0ROT,Definitiv,3363093.6059,894250.0211,5327489.2113
Runsten,RUNS.1,1RUN,Definitiv,3362278.5259,1008276.0643,5307536.4180
Ryfors,RYFO.0,0RYF,Definitiv,3419145.9780,848191.5162,5299395.6922
Råddeby,RADD.0,0RAD,Definitiv,3334463.2836,752318.8166,5367017.0677
Rävlanda,RAVL.0,0RAV,Definitiv,3340178.8068,739940.9313,5365049.5960
Rörö,RORO.0,0ROR,Definitiv,3339312.4518,686422.6438,5372575.8271
Sandarne,SAND.0,0SAN,Definitiv,2937426.2684,906696.5605,5569709.9002
Sandvik,SVIK.0,0SVI,Definitiv,3325445.2211,1007849.1469,5330601.5827
Saxnäs,SAXN.0,0SAX,Definitiv,2609572.1269,716221.6165,5756942.7801
Seitevare,SEIT.0,0SEI,Definitiv,2371278.4457,797240.4023,5847921.4679
Sibbhult,SIBB.0,0SIB,Definitiv,3442037.2736,870801.0703,5280932.1136
